NACCAGE,EDUC,SEX,RACE,model,RACE_model,mean.adj,sd.adj,mean.adj.ori,sd.adj.ori,,,,,
46,14,0,White,transformed,0,1.875618178,0.093951595,22.03717864,6.257375225,,,,,
47,14,0,White,transformed,0,1.876233855,0.093951595,22.09384324,6.362123584,,,,,
48,14,0,White,transformed,0,1.876945368,0.093951595,22.16778751,6.467542535,,,,,
49,14,0,White,transformed,0,1.877784775,0.093951595,22.26117995,6.573719926,,,,,
50,14,0,White,transformed,0,1.878835155,0.093951595,22.37547015,6.680751641,,,,,
51,14,0,White,transformed,0,1.880187857,0.093951595,22.51199118,6.788734865,,,,,
52,14,0,White,transformed,0,1.881934226,0.093951595,22.67207614,6.897766784,,,,,
53,14,0,White,transformed,0,1.884165609,0.093951595,22.85705809,7.007944584,,,,,
54,14,0,White,transformed,0,1.886973353,0.093951595,23.06827013,7.11936545,,,,,
55,14,0,White,transformed,0,1.890448805,0.093951595,23.30704534,7.232126567,,,,,
56,14,0,White,transformed,0,1.894682447,0.093951595,23.5747093,7.346324963,,,,,
57,14,0,White,transformed,0,1.899689468,0.093951595,23.87193527,7.462043777,,,,,
58,14,0,White,transformed,0,1.905352403,0.093951595,24.19824714,7.579341682,,,,,
59,14,0,White,transformed,0,1.911540284,0.093951595,24.55305183,7.698274862,,,,,
60,14,0,White,transformed,0,1.918122142,0.093951595,24.93575624,7.8188995,,,,,
61,14,0,White,transformed,0,1.924967008,0.093951595,25.34576729,7.941271779,,,,,
62,14,0,White,transformed,0,1.931943916,0.093951595,25.78249188,8.065447882,,,,,
63,14,0,White,transformed,0,1.938921895,0.093951595,26.24533693,8.191483993,,,,,
64,14,0,White,transformed,0,1.945771127,0.093951595,26.73355838,8.319438713,,,,,
65,14,0,White,transformed,0,1.952399739,0.093951595,27.24142508,8.449450534,,,,,
66,14,0,White,transformed,0,1.958761589,0.093951595,27.75719561,8.581754226,,,,,
67,14,0,White,transformed,0,1.96481326,0.093951595,28.26877072,8.716590295,,,,,
68,14,0,White,transformed,0,1.970511332,0.093951595,28.76405117,8.854199244,,,,,
69,14,0,White,transformed,0,1.975812389,0.093951595,29.23093772,8.994821576,,,,,
70,14,0,White,transformed,0,1.980673011,0.093951595,29.65733112,9.138697795,,,,,
71,14,0,White,transformed,0,1.985049781,0.093951595,30.03113215,9.286068405,,,,,
72,14,0,White,transformed,0,1.988905659,0.093951595,30.34144703,9.437192148,,,,,
73,14,0,White,transformed,0,1.99231075,0.093951595,30.59763029,9.592634115,,,,,
74,14,0,White,transformed,0,1.995424061,0.093951595,30.82583783,9.753213597,,,,,
75,14,0,White,transformed,0,1.998407293,0.093951595,31.05273411,9.919757576,,,,,
76,14,0,White,transformed,0,2.001422146,0.093951595,31.3049836,10.09309304,,,,,
77,14,0,White,transformed,0,2.004630319,0.093951595,31.60925076,10.27404697,,,,,
78,14,0,White,transformed,0,2.008193512,0.093951595,31.99220004,10.46344635,,,,,
79,14,0,White,transformed,0,2.012273424,0.093951595,32.48049591,10.66211816,,,,,
80,14,0,White,transformed,0,2.017012335,0.093951595,33.09700272,10.87082924,,,,,
81,14,0,White,transformed,0,2.022361735,0.093951595,33.82725257,11.08975543,,,,,
82,14,0,White,transformed,0,2.028164826,0.093951595,34.63558812,11.31873715,,,,,
83,14,0,White,transformed,0,2.034263565,0.093951595,35.48610886,11.55761099,,,,,
84,14,0,White,transformed,0,2.04049991,0.093951595,36.34291426,11.80621351,,,,,
85,14,0,White,transformed,0,2.046715819,0.093951595,37.17010381,12.06438128,,,,,
86,14,0,White,transformed,0,2.05275325,0.093951595,37.93177697,12.33195087,,,,,
87,14,0,White,transformed,0,2.058454162,0.093951595,38.59203322,12.60875885,,,,,
88,14,0,White,transformed,0,2.063742953,0.093951595,39.1386929,12.89455067,,,,,
89,14,0,White,transformed,0,2.069052788,0.093951595,39.70596486,13.18850932,,,,,
90,14,0,White,transformed,0,2.075010721,0.093951595,40.4838459,13.48960345,,,,,
91,14,0,White,transformed,0,2.082244187,0.093951595,41.66244266,13.79680132,,,,,
92,14,0,White,transformed,0,2.091380623,0.093951595,43.43186176,14.10907115,,,,,
93,14,0,White,transformed,0,2.103047462,0.093951595,45.98220983,14.42538119,,,,,
94,14,0,White,transformed,0,2.117872142,0.093951595,49.50359349,14.74469967,,,,,
95,14,0,White,transformed,0,2.136482096,0.093951595,54.18611937,15.06599483,,,,,
40,15,0,White,transformed,0,1.869590242,0.093951595,21.45883598,5.638219633,,,,,
41,15,0,White,transformed,0,1.869895288,0.093951595,21.4631232,5.740724877,,,,,
42,15,0,White,transformed,0,1.870220661,0.093951595,21.47003238,5.843392022,,,,,
43,15,0,White,transformed,0,1.870578937,0.093951595,21.48200657,5.946305849,,,,,
44,15,0,White,transformed,0,1.870982697,0.093951595,21.5014888,6.049551137,,,,,
45,15,0,White,transformed,0,1.871444517,0.093951595,21.53092212,6.153212669,,,,,
46,15,0,White,transformed,0,1.871976977,0.093951595,21.57274957,6.257375225,,,,,
47,15,0,White,transformed,0,1.872592655,0.093951595,21.62941417,6.362123584,,,,,
48,15,0,White,transformed,0,1.873304167,0.093951595,21.70335843,6.467542535,,,,,
49,15,0,White,transformed,0,1.874143574,0.093951595,21.79675088,6.573719926,,,,,
50,15,0,White,transformed,0,1.875193955,0.093951595,21.91104107,6.680751641,,,,,
51,15,0,White,transformed,0,1.876546656,0.093951595,22.04756211,6.788734865,,,,,
52,15,0,White,transformed,0,1.878293025,0.093951595,22.20764706,6.897766784,,,,,
53,15,0,White,transformed,0,1.880524409,0.093951595,22.39262902,7.007944584,,,,,
54,15,0,White,transformed,0,1.883332153,0.093951595,22.60384106,7.11936545,,,,,
55,15,0,White,transformed,0,1.886807604,0.093951595,22.84261626,7.232126567,,,,,
56,15,0,White,transformed,0,1.891041246,0.093951595,23.11028023,7.346324963,,,,,
57,15,0,White,transformed,0,1.896048267,0.093951595,23.4075062,7.462043777,,,,,
58,15,0,White,transformed,0,1.901711202,0.093951595,23.73381807,7.579341682,,,,,
59,15,0,White,transformed,0,1.907899083,0.093951595,24.08862276,7.698274862,,,,,
60,15,0,White,transformed,0,1.914480941,0.093951595,24.47132717,7.8188995,,,,,
61,15,0,White,transformed,0,1.921325808,0.093951595,24.88133822,7.941271779,,,,,
62,15,0,White,transformed,0,1.928302715,0.093951595,25.31806281,8.065447882,,,,,
63,15,0,White,transformed,0,1.935280695,0.093951595,25.78090785,8.191483993,,,,,
64,15,0,White,transformed,0,1.942129927,0.093951595,26.26912931,8.319438713,,,,,
65,15,0,White,transformed,0,1.948758538,0.093951595,26.77699601,8.449450534,,,,,
66,15,0,White,transformed,0,1.955120388,0.093951595,27.29276653,8.581754226,,,,,
67,15,0,White,transformed,0,1.961172059,0.093951595,27.80434164,8.716590295,,,,,
68,15,0,White,transformed,0,1.966870132,0.093951595,28.29962209,8.854199244,,,,,
69,15,0,White,transformed,0,1.972171188,0.093951595,28.76650864,8.994821576,,,,,
70,15,0,White,transformed,0,1.977031811,0.093951595,29.19290205,9.138697795,,,,,
71,15,0,White,transformed,0,1.981408581,0.093951595,29.56670307,9.286068405,,,,,
72,15,0,White,transformed,0,1.985264459,0.093951595,29.87701795,9.437192148,,,,,
73,15,0,White,transformed,0,1.988669549,0.093951595,30.13320121,9.592634115,,,,,
74,15,0,White,transformed,0,1.99178286,0.093951595,30.36140875,9.753213597,,,,,
75,15,0,White,transformed,0,1.994766093,0.093951595,30.58830504,9.919757576,,,,,
76,15,0,White,transformed,0,1.997780945,0.093951595,30.84055453,10.09309304,,,,,
