NACCAGE,EDUC,SEX,mean.adj,sd.adj,Zscore
49,12,0,2.114802824,0.129801975,0
50,12,0,2.117395153,0.129801975,0
51,12,0,2.12035471,0.129801975,0
52,12,0,2.123800822,0.129801975,0
53,12,0,2.127852815,0.129801975,0
54,12,0,2.132630017,0.129801975,0
55,12,0,2.138251755,0.129801975,0
56,12,0,2.144836101,0.129801975,0
57,12,0,2.152391868,0.129801975,0
58,12,0,2.160735363,0.129801975,0
59,12,0,2.169663304,0.129801975,0
60,12,0,2.178972404,0.129801975,0
61,12,0,2.188459379,0.129801975,0
62,12,0,2.197920942,0.129801975,0
63,12,0,2.20715381,0.129801975,0
64,12,0,2.215957427,0.129801975,0
65,12,0,2.224221412,0.129801975,0
66,12,0,2.231944062,0.129801975,0
67,12,0,2.239130144,0.129801975,0
68,12,0,2.245784422,0.129801975,0
69,12,0,2.251911664,0.129801975,0
70,12,0,2.257516636,0.129801975,0
71,12,0,2.262604103,0.129801975,0
72,12,0,2.267182928,0.129801975,0
73,12,0,2.271330768,0.129801975,0
74,12,0,2.275182363,0.129801975,0
75,12,0,2.278874184,0.129801975,0
76,12,0,2.282542699,0.129801975,0
77,12,0,2.286324377,0.129801975,0
78,12,0,2.290355687,0.129801975,0
79,12,0,2.294773098,0.129801975,0
80,12,0,2.299701776,0.129801975,0
81,12,0,2.305155848,0.129801975,0
82,12,0,2.311086414,0.129801975,0
83,12,0,2.31744385,0.129801975,0
84,12,0,2.324178535,0.129801975,0
85,12,0,2.331240846,0.129801975,0
86,12,0,2.338581159,0.129801975,0
87,12,0,2.346149851,0.129801975,0
88,12,0,2.353905159,0.129801975,0
89,12,0,2.361853808,0.129801975,0
90,12,0,2.370021004,0.129801975,0
91,12,0,2.37843199,0.129801975,0
92,12,0,2.38711201,0.129801975,0
93,12,0,2.396086304,0.129801975,0
94,12,0,2.405380117,0.129801975,0
95,12,0,2.415018691,0.129801975,0
40,13,0,2.09016615,0.129801975,0
41,13,0,2.091936996,0.129801975,0
42,13,0,2.093731265,0.129801975,0
43,13,0,2.095561807,0.129801975,0
44,13,0,2.097441469,0.129801975,0
45,13,0,2.099383101,0.129801975,0
46,13,0,2.101399549,0.129801975,0
47,13,0,2.103503663,0.129801975,0
48,13,0,2.105708343,0.129801975,0
49,13,0,2.108052772,0.129801975,0
50,13,0,2.110645101,0.129801975,0
51,13,0,2.113604658,0.129801975,0
52,13,0,2.11705077,0.129801975,0
53,13,0,2.121102763,0.129801975,0
54,13,0,2.125879965,0.129801975,0
55,13,0,2.131501703,0.129801975,0
56,13,0,2.138086049,0.129801975,0
57,13,0,2.145641816,0.129801975,0
58,13,0,2.153985311,0.129801975,0
59,13,0,2.162913252,0.129801975,0
60,13,0,2.172222352,0.129801975,0
61,13,0,2.181709327,0.129801975,0
62,13,0,2.19117089,0.129801975,0
63,13,0,2.200403758,0.129801975,0
64,13,0,2.209207375,0.129801975,0
65,13,0,2.21747136,0.129801975,0
66,13,0,2.22519401,0.129801975,0
67,13,0,2.232380092,0.129801975,0
68,13,0,2.23903437,0.129801975,0
69,13,0,2.245161612,0.129801975,0
70,13,0,2.250766584,0.129801975,0
71,13,0,2.255854051,0.129801975,0
72,13,0,2.260432876,0.129801975,0
73,13,0,2.264580716,0.129801975,0
74,13,0,2.268432311,0.129801975,0
75,13,0,2.272124132,0.129801975,0
76,13,0,2.275792647,0.129801975,0
77,13,0,2.279574325,0.129801975,0
78,13,0,2.283605635,0.129801975,0
79,13,0,2.288023046,0.129801975,0
80,13,0,2.292951724,0.129801975,0
81,13,0,2.298405796,0.129801975,0
82,13,0,2.304336362,0.129801975,0
83,13,0,2.310693798,0.129801975,0
84,13,0,2.317428483,0.129801975,0
85,13,0,2.324490794,0.129801975,0
