NACCAGE,EDUC,SEX,RACE,model,RACE_model,mean.adj,sd.adj,,
85,16,0,White,transformed,0,2.290564689,0.122524029,,
86,16,0,White,transformed,0,2.298382216,0.122524029,,
87,16,0,White,transformed,0,2.305935956,0.122524029,,
88,16,0,White,transformed,0,2.313118053,0.122524029,,
89,16,0,White,transformed,0,2.320207653,0.122524029,,
90,16,0,White,transformed,0,2.327631388,0.122524029,,
91,16,0,White,transformed,0,2.335816182,0.122524029,,
92,16,0,White,transformed,0,2.345188957,0.122524029,,
93,16,0,White,transformed,0,2.356176636,0.122524029,,
94,16,0,White,transformed,0,2.369206141,0.122524029,,
95,16,0,White,transformed,0,2.384704396,0.122524029,,
40,17,0,White,transformed,0,2.062864576,0.122524029,,
41,17,0,White,transformed,0,2.063278206,0.122524029,,
42,17,0,White,transformed,0,2.063716826,0.122524029,,
43,17,0,White,transformed,0,2.064195526,0.122524029,,
44,17,0,White,transformed,0,2.064729398,0.122524029,,
45,17,0,White,transformed,0,2.065333532,0.122524029,,
46,17,0,White,transformed,0,2.06602302,0.122524029,,
47,17,0,White,transformed,0,2.066812954,0.122524029,,
48,17,0,White,transformed,0,2.067718474,0.122524029,,
49,17,0,White,transformed,0,2.068780447,0.122524029,,
50,17,0,White,transformed,0,2.070107244,0.122524029,,
51,17,0,White,transformed,0,2.071818171,0.122524029,,
52,17,0,White,transformed,0,2.074032535,0.122524029,,
53,17,0,White,transformed,0,2.076869644,0.122524029,,
54,17,0,White,transformed,0,2.080448805,0.122524029,,
55,17,0,White,transformed,0,2.084889327,0.122524029,,
56,17,0,White,transformed,0,2.090309419,0.122524029,,
57,17,0,White,transformed,0,2.096731825,0.122524029,,
58,17,0,White,transformed,0,2.104011082,0.122524029,,
59,17,0,White,transformed,0,2.11198461,0.122524029,,
60,17,0,White,transformed,0,2.120489825,0.122524029,,
61,17,0,White,transformed,0,2.129364145,0.122524029,,
62,17,0,White,transformed,0,2.138444989,0.122524029,,
63,17,0,White,transformed,0,2.147569773,0.122524029,,
64,17,0,White,transformed,0,2.156577129,0.122524029,,
65,17,0,White,transformed,0,2.165345774,0.122524029,,
66,17,0,White,transformed,0,2.173802735,0.122524029,,
67,17,0,White,transformed,0,2.181877916,0.122524029,,
68,17,0,White,transformed,0,2.189501219,0.122524029,,
69,17,0,White,transformed,0,2.196602549,0.122524029,,
70,17,0,White,transformed,0,2.203111809,0.122524029,,
71,17,0,White,transformed,0,2.208958902,0.122524029,,
72,17,0,White,transformed,0,2.214082417,0.122524029,,
73,17,0,White,transformed,0,2.218566838,0.122524029,,
74,17,0,White,transformed,0,2.222617706,0.122524029,,
75,17,0,White,transformed,0,2.226444226,0.122524029,,
76,17,0,White,transformed,0,2.230255604,0.122524029,,
77,17,0,White,transformed,0,2.234261046,0.122524029,,
78,17,0,White,transformed,0,2.238669757,0.122524029,,
79,17,0,White,transformed,0,2.243690944,0.122524029,,
