NACCAGE,EDUC,SEX,mean.adj,sd.adj,Zscore
50,16,0,2.292562995,0.098886597,0
51,16,0,2.294218243,0.098890568,0
52,16,0,2.296182347,0.098894586,0
53,16,0,2.298607021,0.098898664,0
54,16,0,2.301643977,0.098902813,0
55,16,0,2.305444931,0.098907045,0
56,16,0,2.310160223,0.098911371,0
57,16,0,2.315820703,0.098915828,0
58,16,0,2.322246695,0.098920492,0
59,16,0,2.329237093,0.098925445,0
60,16,0,2.33659079,0.098930768,-1.346084871
61,16,0,2.344106681,0.098936541,0
62,16,0,2.351583658,0.098942846,0
63,16,0,2.358820616,0.098949765,0
64,16,0,2.365619719,0.098957386,0
65,16,0,2.371891181,0.098966064,0
66,16,0,2.377675432,0.098976475,0
67,16,0,2.383020654,0.09898931,0
68,16,0,2.387975029,0.099005266,0
69,16,0,2.392586739,0.099025034,0
70,16,0,2.396903969,0.09904931,0
71,16,0,2.400974898,0.099078786,0
72,16,0,2.404847741,0.099114232,0
73,16,0,2.40857122,0.099157698,0
74,16,0,2.412194479,0.09921229,0
75,16,0,2.415766678,0.09928115,-0.543842631
76,16,0,2.419336974,0.099367419,0
77,16,0,2.422954525,0.099474236,0
78,16,0,2.42666849,0.099604743,0
79,16,0,2.430528027,0.09976208,0
80,16,0,2.434578368,0.099948747,0
81,16,0,2.438826198,0.100160934,0
82,16,0,2.443256315,0.100391257,0
83,16,0,2.447853268,0.100632287,0
84,16,0,2.452601608,0.100876597,0
85,16,0,2.457485882,0.101116759,0
86,16,0,2.46249064,0.101345345,0
87,16,0,2.467600431,0.101554928,0
88,16,0,2.472828599,0.101739203,0
89,16,0,2.478366186,0.101898797,0
90,16,0,2.484471957,0.102036975,0
91,16,0,2.491404807,0.102157012,0
92,16,0,2.499423634,0.102262178,0
93,16,0,2.508787335,0.102355748,0
94,16,0,2.519754805,0.102440992,0
95,16,0,2.532584942,0.102521183,0
40,17,0,2.262112967,0.098847763,0
41,17,0,2.265181407,0.098851621,0
42,17,0,2.268013643,0.098855481,0
43,17,0,2.270619626,0.098859344,0
44,17,0,2.27300931,0.098863211,0
45,17,0,2.275192648,0.098867084,0
46,17,0,2.277179591,0.098870964,0
47,17,0,2.278980093,0.098874852,0
48,17,0,2.280604175,0.09887875,0
49,17,0,2.282096851,0.098882662,0
50,17,0,2.283594957,0.098886597,0
51,17,0,2.285250205,0.098890568,0
52,17,0,2.287214309,0.098894586,0
53,17,0,2.289638982,0.098898664,0
54,17,0,2.292675939,0.098902813,0
55,17,0,2.296476893,0.098907045,0
56,17,0,2.301192185,0.098911371,0
57,17,0,2.306852665,0.098915828,0
58,17,0,2.313278657,0.098920492,0
59,17,0,2.320269055,0.098925445,0
60,17,0,2.327622752,0.098930768,0
61,17,0,2.335138642,0.098936541,0
62,17,0,2.34261562,0.098942846,0
63,17,0,2.349852578,0.098949765,0
64,17,0,2.356651681,0.098957386,0
65,17,0,2.362923143,0.098966064,0
66,17,0,2.368707394,0.098976475,0
67,17,0,2.374052615,0.09898931,0
68,17,0,2.37900699,0.099005266,0
69,17,0,2.383618701,0.099025034,0
70,17,0,2.38793593,0.09904931,0
71,17,0,2.39200686,0.099078786,0
72,17,0,2.395879703,0.099114232,0
73,17,0,2.399603181,0.099157698,0
74,17,0,2.403226441,0.09921229,0
75,17,0,2.40679864,0.09928115,0
76,17,0,2.410368936,0.099367419,0
77,17,0,2.413986487,0.099474236,0
78,17,0,2.417700452,0.099604743,0
79,17,0,2.421559988,0.09976208,0
80,17,0,2.42561033,0.099948747,0
81,17,0,2.429858159,0.100160934,0
82,17,0,2.434288276,0.100391257,0
83,17,0,2.43888523,0.100632287,0
84,17,0,2.443633569,0.100876597,0
85,17,0,2.448517844,0.101116759,0
86,17,0,2.453522602,0.101345345,0
87,17,0,2.458632393,0.101554928,0
88,17,0,2.463860561,0.101739203,0
89,17,0,2.469398148,0.101898797,0
90,17,0,2.475503919,0.102036975,0
91,17,0,2.482436769,0.102157012,0
92,17,0,2.490455596,0.102262178,0
93,17,0,2.499819296,0.102355748,0
94,17,0,2.510786767,0.102440992,0
95,17,0,2.523616904,0.102521183,0
40,18,0,2.253144929,0.098847763,0
41,18,0,2.256213369,0.098851621,0
42,18,0,2.259045604,0.098855481,0
43,18,0,2.261651588,0.098859344,0
44,18,0,2.264041272,0.098863211,0
45,18,0,2.266224609,0.098867084,0
46,18,0,2.268211553,0.098870964,0
47,18,0,2.270012055,0.098874852,0
48,18,0,2.271636137,0.09887875,0
49,18,0,2.273128813,0.098882662,0
50,18,0,2.274626918,0.098886597,0
51,18,0,2.276282166,0.098890568,0
52,18,0,2.27824627,0.098894586,0
53,18,0,2.280670944,0.098898664,0
54,18,0,2.283707901,0.098902813,0
55,18,0,2.287508854,0.098907045,0
56,18,0,2.292224146,0.098911371,0
57,18,0,2.297884627,0.098915828,0
58,18,0,2.304310619,0.098920492,0
59,18,0,2.311301017,0.098925445,0
60,18,0,2.318654714,0.098930768,0
61,18,0,2.326170604,0.098936541,0
62,18,0,2.333647582,0.098942846,0
63,18,0,2.34088454,0.098949765,0
64,18,0,2.347683643,0.098957386,0
65,18,0,2.353955105,0.098966064,0
66,18,0,2.359739355,0.098976475,0
67,18,0,2.365084577,0.09898931,0
68,18,0,2.370038952,0.099005266,0
69,18,0,2.374650663,0.099025034,0
70,18,0,2.378967892,0.09904931,0
71,18,0,2.383038822,0.099078786,0
72,18,0,2.386911664,0.099114232,0
73,18,0,2.390635143,0.099157698,0
74,18,0,2.394258403,0.09921229,0
75,18,0,2.397830601,0.09928115,0
76,18,0,2.401400897,0.099367419,0
77,18,0,2.405018449,0.099474236,0
